author_id,author_name,author_affiliation_name
57015097500,"Shaaban, Ousama A.",Universiti Utara Malaysia
56442761000,"Hasmuni, Noraini",Universiti Utara Malaysia
56763753100,"Umar, Mohammed",Universiti Utara Malaysia
57192064557,"Zainal, Hafizah",Universiti Utara Malaysia
55612687300,"Asyraf, H. A.R.",Universiti Utara Malaysia
56429649700,"Mohamed Udin, Zulkifli",Universiti Utara Malaysia
56613519800,"Otache, Innocent",Universiti Utara Malaysia
6505830487,"Shiratuddin, Norshuhada",Universiti Utara Malaysia
57193485912,"Hudait, Abir",Universiti Utara Malaysia
6507918447,"Altinay, Levent",Universiti Utara Malaysia
57192070134,"Zauro, Nurudeen Abubakar",Universiti Utara Malaysia
57193080273,"Suriyanti, Sufatmi",Universiti Utara Malaysia
35730929200,"Amphawan, Angela",Universiti Utara Malaysia
56286310600,"Rejab, Mawarny Md",Universiti Utara Malaysia
56299603500,"Febrilia, Ika",Universiti Utara Malaysia
57203487459,"Rahman, Mijanur",Universiti Utara Malaysia
25935775700,"Al-Duais, M. S.",Universiti Utara Malaysia
36160355300,"Chan, Sok Gee",Universiti Utara Malaysia
57192195221,"Hussain, Hashiroh",Universiti Utara Malaysia
57200299118,"Abdullah, Shahmir Sivaraj",Universiti Utara Malaysia
36894565700,"Buchdadi, Agung Dharmawan",Universiti Utara Malaysia
56088311200,"Yahya, Farzan",Universiti Utara Malaysia
7801340484,"Yaakub, Abdul Razak",Universiti Utara Malaysia
55255362000,"Asaad, Baravan A.",Universiti Utara Malaysia
38761368700,"Ibrahim, A. L.",Universiti Utara Malaysia
57193796716,"Bakar, Azizi Abu",Universiti Utara Malaysia
34975621100,"Malarvizhi, Chinnasamy Agamudainambhi",Universiti Utara Malaysia
56767785500,"Othman, Hussain",Universiti Utara Malaysia
35101435300,"Hamid, Baharom Abdul",Universiti Utara Malaysia
56467863900,"Noman, Mohammad",Universiti Utara Malaysia
56926811800,"Alfandi, Ashraf",Universiti Utara Malaysia
56613458700,"Edogbanya, Adejoh",Universiti Utara Malaysia
23389428500,"Kamaruddin, Siti Sakira",Universiti Utara Malaysia
55990898000,"Roslina, K.",Universiti Utara Malaysia
26436061300,"Omar-Fauzee, Mohd Sofian Bin",Universiti Utara Malaysia
57201131907,"Ahmad-Azami, Nor Idayu",Universiti Utara Malaysia
57203314166,"Ramli, Rohaini",Universiti Utara Malaysia
36660614100,"Al-Swidi, Abdullah",Universiti Utara Malaysia
57003693900,"Albarune, Abu Raihan Bhuiyan",Universiti Utara Malaysia
24482946700,"Gliazali, Osman",Universiti Utara Malaysia
57191898311,"Jomaa, Nayef Jomaa",Universiti Utara Malaysia
56939786400,"Ismail, Mohd Azril",Universiti Utara Malaysia
57015522100,"Chandini Pendit, Ulka",Universiti Utara Malaysia
25960595900,"Bakar, Hassan Abu",Universiti Utara Malaysia
54782241800,"Aziz, Mukhriz Izraf A.",Universiti Utara Malaysia
56202440500,"Bahaudin, Ahmad Yusni",Universiti Utara Malaysia
57192061267,"Ghazali, Mohamad Zulkurnai",Universiti Utara Malaysia
57190415923,"Mahad, Murat",Universiti Utara Malaysia
36501775300,"Hashim, Mohd Khairuddin",Universiti Utara Malaysia
57193997687,"Salman, Rabia",Universiti Utara Malaysia
56968103300,"Alajmi, Rajeh Hamad",Universiti Utara Malaysia
57195378980,"Monzerhabbal, Adib M.",Universiti Utara Malaysia
7102131206,"Omar, Mohd Faizal",Universiti Utara Malaysia
35226687100,"Ta’a, Azman",Universiti Utara Malaysia
56946268900,"Tahir, Mohamad Zamhari",Universiti Utara Malaysia
55933025100,"Idrus, Syed Zulkarnain Syed",Universiti Utara Malaysia
57190258028,"Mohamad, Noraihan",Universiti Utara Malaysia
52363107500,"Azizuddin Mohd Sani, Mohd",Universiti Utara Malaysia
57201363805,"Ghazali, Taqiyah Khadijah",Universiti Utara Malaysia
57194695882,"Omotayo, Awoyemi",Universiti Utara Malaysia
41261010700,"Bhuiyan, Md Anowar Hossain",Universiti Utara Malaysia
23060623200,"Kasim, Azilah",Universiti Utara Malaysia
57206257238,"Chowdhury, Tasnuva Mahbub",Universiti Utara Malaysia
57191434041,"Mohammed, Ahmed Hani",Universiti Utara Malaysia
56816766400,"Yaakob, Mazri",Universiti Utara Malaysia
8724492600,"Choudrie, Jyoti",Universiti Utara Malaysia
24767257300,"Zerafat Angiz L, Majid",Universiti Utara Malaysia
25032222700,"Wahab, Muhammad S.",Universiti Utara Malaysia
57204121215,"Anam, Javeed",Universiti Utara Malaysia
35318158600,"Miaji, Yaser",Universiti Utara Malaysia
56314801700,"Yuan, Jiang",Universiti Utara Malaysia
54892015900,"Jeram, Daasaratan",Universiti Utara Malaysia
36194694800,"Ali, Haroon Shoukat",Universiti Utara Malaysia
57194695325,"Basri, Wael S.",Universiti Utara Malaysia
57205221485,"Alomari, Abedel Karrem",Universiti Utara Malaysia
46160948400,"Ali, Hazlina",Universiti Utara Malaysia
7003662460,"Crabtree, Sara Ashencaen",Universiti Utara Malaysia
36774516100,"Isam, Hishamudin",Universiti Utara Malaysia
57198874929,"Ahmad, Saari",Universiti Utara Malaysia
36562278500,"Nor Idayu, M.",Universiti Utara Malaysia
57190045291,"Bakar, Fathiyyah Abu",Universiti Utara Malaysia
56051740000,"Mohd-Rashid, Rasidah",Universiti Utara Malaysia
57200292859,"Ibrahim, Naala Mohammad Nura",Universiti Utara Malaysia
55456467900,"Ahmad, Mazida",Universiti Utara Malaysia
55731138700,"Brown, Greg",Universiti Utara Malaysia
55781383400,"Imran, Asma",Universiti Utara Malaysia
56363616300,"Ibrahim, Adyda",Universiti Utara Malaysia
55270648800,"Refai, Mohammed Hayel",Universiti Utara Malaysia
55612524000,"Adam, Fadzli",Universiti Utara Malaysia
35224847000,"Ismail, Mohd Nazari",Universiti Utara Malaysia
56369685800,"Othman, Azliza",Universiti Utara Malaysia
39261402000,"Gebril, Abdelsalam O.",Universiti Utara Malaysia
55331556300,"Zahari, Fadhilah",Universiti Utara Malaysia
36141900600,"Pasha, Ahmad Tisman",Universiti Utara Malaysia
55130575700,"Alabdalleh, Wa'el Ali",Universiti Utara Malaysia
57009694400,"Al-Khafaji, Nassir Jabir",Universiti Utara Malaysia
38661234200,"Abdullah, Haim Hitman",Universiti Utara Malaysia
55513072800,"Ariffin, Ahmad Shabudin",Universiti Utara Malaysia
54386472300,"Che Mat, Siti Hadijah",Universiti Utara Malaysia
36731330800,"Marimuthu, Maran",Universiti Utara Malaysia
57189349143,"Gamal, Awadh A.M.",Universiti Utara Malaysia
57192062156,"Fadzim, Wan Roshidah",Universiti Utara Malaysia
56946874700,"Mkpojiogu, Emmanuel O.C.",Universiti Utara Malaysia
57205221485,"Alomari, A. K.",Universiti Utara Malaysia
25639445900,"Fadhil, Hilal A.",Universiti Utara Malaysia
57191429668,"Zakaria, Izatul Husna",Universiti Utara Malaysia
57203126383,"Abu-Morad, Mohannad Ahmad",Universiti Utara Malaysia
36503188000,"Zakaria, Mustafa",Universiti Utara Malaysia
56684840000,"Popoola, Oluwatoyin Muse Johnson",Universiti Utara Malaysia
57191188056,"Abdullah, Nik Herda Nik",Universiti Utara Malaysia
35085506400,"Shbier, Mohammed Zaki",Universiti Utara Malaysia
56073142200,"Hassan, Kabir",Universiti Utara Malaysia
57193323210,"Saleh, Omar S.",Universiti Utara Malaysia
57191033891,"Al-Hiyari, Ahmad",Universiti Utara Malaysia
57204579043,"Bakar, Hatinah Abu",Universiti Utara Malaysia
57006696400,"Adebambo, Hameed",Universiti Utara Malaysia
16063976800,"Jantan, Muhamad",Universiti Utara Malaysia
7801677214,"Azman-Sainic, W. N.W.",Universiti Utara Malaysia
57132366800,"Qasim, Mustafa Moosa",Universiti Utara Malaysia
57210277621,"Bakar, Normizan",Universiti Utara Malaysia
57200296498,"Ismail, Mohd Yusri Shahril",Universiti Utara Malaysia
57208082270,"Raja Mohd Ali, Raja Haslinda",Universiti Utara Malaysia
57208273571,"Khasawneh, Mohammad Saud",Universiti Utara Malaysia
23567592500,"Mohd Ali, Khairul Anuar",Universiti Utara Malaysia
55534026500,"Akhadkulov, H.",Universiti Utara Malaysia
57191749199,"Ghani, Noor Hasmini Binti Abd",Universiti Utara Malaysia
55917660800,"Che-Adam, Noriah",Universiti Utara Malaysia
54931764400,"Abbas, Asam Hamed",Universiti Utara Malaysia
55622573200,"Zabid, M. F.M.",Universiti Utara Malaysia
55855797300,"Ahmad, Rozila",Universiti Utara Malaysia
56193660800,"Azahadi, Mohd",Universiti Utara Malaysia
56763798800,"Abu Bakar, Arpah",Universiti Utara Malaysia
57192920423,"Habibi, Akhmad",Universiti Utara Malaysia
6507714573,"Arasli, Huseyin",Universiti Utara Malaysia
57194695325,"Basri, Wael Sh",Universiti Utara Malaysia
36572598200,"Rasheed, Mohammad M.",Universiti Utara Malaysia
7402468619,"Ibrahim, Mansor H.",Universiti Utara Malaysia
35226687100,"Ta'a, Azman",Universiti Utara Malaysia
36191680200,"Abdul-Razak, Nor Azam",Universiti Utara Malaysia
55916088900,"Kalimuthu Rajoo, Shanmugam Sundram",Universiti Utara Malaysia
6602946347,"Nachum, Lilac",Universiti Utara Malaysia
57191517407,"Al-Shuaibi, Ahmad Said Ibrahim",Universiti Utara Malaysia
56226700100,"Alfa Tahir, Fatima",Universiti Utara Malaysia
56497923100,"Dan Jantan, Mohd",Universiti Utara Malaysia
57192068349,"Maigoshi, Zaharaddeen Salisu",Universiti Utara Malaysia
36598796800,"Malkawi, G.",Universiti Utara Malaysia
35791775500,"Benjamin, Aida Mauziah",Universiti Utara Malaysia
36536436600,"Basri, Shuib",Universiti Utara Malaysia
57205622374,"Baharuddin, Sitti Aminah",Universiti Utara Malaysia
55513256600,"Mohtar, Shahimi",Universiti Utara Malaysia
55644374400,"Ahmad, N.",Universiti Utara Malaysia
